Analysis Team,Disk Usage in GB,Number of files,Glance code
2HDMa_summary_fullRun2,17.531,3887,ANA-EXOT-2018-64
Dark-photon-combination,1.5899,62,ANA-EXOT-2023-01
SChannel-summary-fullRun2,13.776,415,ANA-EXOT-2018-62
SimpleAna2020_tutorial,36.321,199,N/A
Total Sum,69.219,4563,
