Analysis Team,Disk Usage in GB,Number of files,Glance code
ANA-EXOT-2024-02_diphotonTLA,614.61,1124,ANA-EXOT-2024-02
ANA-EXOT-2024-15_bcdijet,1103.8,2328,ANA-EXOT-2024-15
Total Sum,1718.4,3452,
